content,score
"Makin ngeyel ni game, dapat tim yg tidak seimbang, kadang tim lawan lebih kuat dari pada tim kita, tim kita ada yg troll, jaringan wifi udah bagus tapi ngeleg-ngeleg pas main ml, tolong diperbaiki yg kayak begini, tolong jaringan udah bagus kok tiba"" ngeleg, dapat tim dark sistem terus, pilih kasih banget, tolong moonton seimbangkan tim dengan lawan, jangan berat sebelah, tidak menarik sekali, jaringan lag, permainan tidak sesuai, di apk lain tidak ngeleg di ml ngeleg, tolong perbaiki lah",1
"kenapa ya skrg ml jadi sering patah patah sinyal jg suka tiba"" ilang padahal sinyal dalam keadaan baik"" aja, trs juga musuhnya pada gamasuk logika kadang tim nya dark sistem kadang musuhnya lebih kuat kalau gini kapan naiknya rank kasih lah lawan sama tim yang seimbang biar kami gak kesusahan buat naikin rank inimah double kill sama sinyal",1
"Game memang dari dasar systemnya rusak! terutama di permatchmakingan kita disatukan dengan tim yang tidak mengerti cara untuk bermain di dalam gameplay itu pasti dan selalu (yg memang sepertinya sudah disetting oleh developer atau mungkin bisa dibilang ada akun yg memang sudah terkutuk untuk mengatur menang dan kalahnya) DAN ITU FAKTA! Karena saya mengalaminya sendiri. Dan 1 tambahan lagi dilihat dari sisi musuh memang sepertinya ada kecurangan yang tidak masuk di akal darisegidamage,rotasi,dll.",1
"mohon maaf sebelumnya pada developer tolong perbaiki game moba ini karena ada banyak bug,pertandingan tidak seimbang,jaringan terputus secara tidak langsung padahal jaringan bagus,saat masuk interface frezee secara total tanpa sebab. mohon sekali lagi developer diperbaiki game moba ini! kalau tidak saya tuntut!!!.",2
"jaringan padahal stabil. jadi suka lag mendadak dan keselnya kalo lagi momen war atau 1 vs 1 lawan hero lawan. akibat bug chip, padahal sebelum ketemu chip aman"" aja. setelah setim lawan chip malah jaringan tiba"" hilang pas di momen"" penting. mana di setiap match terus berlanjut ini bugnya. tolong lah moonton perbaiki problem ini",1
"gamenya bagus, seru, asik cuman tolong untuk koneksinya lebih di perbaiki lg. sama klo kasih musuh jangan yg susah terus, saya sudah seminggu musuhnya susah terus. dan saya minta untuk request skin baru yaitu coleb sama one piece",4
"Matchmaking jelek, role nabrak, tim tidak jelas, dan perbedaan rank tertinggi dengan musuh juga bisa beda jauh. Apalagi jika saat ws bedanya bisa jauh banget. Jaringan juga sering bermasalah.",1
"saya suka game nya, tapi barusan saya kejebak player lain, baru beres main ada yg undang ke pijit gabung mau keluar lagi malah udh di star game nya, main di costum lawannya computer semua terus sama yg undang di pause jadi ga bisa main sama sekali keluar ga bisa main gabisa, solusinya gimana ya",5
"setiap di tengah pertandingan selalu keluar dari game/bug, ketika menghubungkan kembali malah afk, ini bkn sekali dua kali tetapi setiap hari (karena itu kredit skor aku setiap hari menurun). next, ketika bermain rank lingkungan tdk seimbang, lawan terlalu jago tetapi tim banyak yg darksistem sehingga sulit utk menaiki rank... tolong perbaiki...",3
"Game nya sih oke grafik bagus menarik banyak event, cuma segi permainannya yang buruk. Sering rebutan lane, kedua tim yang tidak seimbang udah kaya setim sama computer lawan player. Saya kira game nya makin update makin bagus pembagian timnya ternyata malah makin buruk",3
"Moonton ada 5 hal yang gak disukai sama player ML sampe ngeluh², tapi lu nya malas menanggapi. 1. Sistem match making nya gajelas. 2. Role suka nabrak. 3. Tim sendiri penghuni asli sementara lawan mantan glory. 4. jaringan suka nge-lag padahal sinyal bagus. 5. masalah bug. Ini harus diperhatikan ya Moonton, player ML menilainya dari kelima yang ku sebut loh, nah belum lagi event yang kadang² gajelas. Kaya galeri Silvana waktu belakangan lalu. Moonton, ayolah perbaiki itu semua.",2
"Sbnernya gamenya seru, grafik oke, hero bnyak, dan sering update. Tpi msalahnya satu: matchmakingnya nyebelin bgt. Dh capek² main solo, eh dapet tim yg asal main, feed mulu, ga ngerti rotasi, war asal masuk. Smentara tim musuh kyk squad turnamen, kompak bgt. Dah coba gnti jam main, gnti role, ttep aja dpt tim yg bikin mental ambyar. Fix ini game lbih ke tes kesabaran daripada skill. Tlong dong Moonton, perbaiki sistem matchmakingnya, biar player solo bisa nikmatin game tnpa hrs stres tiap match",1
"Montoon, tolong jangan cuma di baca tp di perbaiki lagi. Grafis gamenya emang keren dan event2 pun menarik tapi kenapa sinyal sering bug,padahal kouta banyak hp baru ram gede pula. drak sistemnya di kurangin, ketemu tim kagak ada yang jelas. rank puluhan matc, bintang segitu2 aja.",2
peringatan keras untuk developer segera perbaiki jaringan sinyal agar pengalaman bermain jadi lebih baik dan menyenangkan karena sering kali player dirugikan oleh sistem jaringan sinyal yang naik turun sementara internet yang dipakai oleh player sudah sangat kencang kecepatan Mbps nya!!!!!!,2
"saat Battlefield rank solo mengapa tim sendiri antara tim musuh selalu tidak seimbang, misal tim saya kebanyakan pemula, sedangkan tim musuh kebanyakan Sepuh. Untuk itu awal nya masih bisa saya toleran namun kejadian ini sering sekali bahkan jika di hitung bisa 15 kali saya sudah tidak bisa menoleransi lagi hal tersebut, untuk kedepannya tolong lebih bijak saat Battlefield pemilihan tim sendiri dan tim musuh, sekali lagi mohon atas kebijakannya 🙏🙏",1
"asli nih game gak danta!! gua udah 7× main di rank terus ngebug Bae. kaga bisa gerak samsek. giliran gua buka apk lainnya bisa berfungsi dengan baik. tolong moonton perbaiki lagi nih game, jangan buat rusak nih game dan sistem tim nya, tolong di benahi lagi. jangan lu satuin orang yang cuma bisa mm atau jungler. pisahin semua!!!!",2
"Game buruk, system matchmaking game paling buruk yg pernah ada, penyeimbangan tim tidak setara. Setelah win 1x selanjutnya pasti lose 2x atau lebih, stuck dan terus berputar"" seperti itu. Jika tidak ada perbaikan mengenai penyeimbangan matchmaking, game ini akan menjadi game moba dengan matchmaking terburuk yang pernah ada.",4
"Matchmaking yang sangat buruk ketika bermain solo, gangguan sinyal saat in game (saya mencoba apk & game lain, lancar² saja). Ngetik ""Darksystem"" langsung kena warning ☠️, padahal emang beneran banyak darksystem. 100 match stuck legend karena banyaknya darksystem",1
"Overall game mlbb yang sekarang udah bagus, dari segi gameplay, design, sampe ke hal hal detail kecil lainnya. Tapi alasan kenapa ga bintang 5 itu karna masih banyak yang harus di improve di mlbb ini. Terutama yang paling sering ditemuin kaya ga seimbang rank musuh dengan rank partner(matchmaking ga adil) dan masalah koneksi(seperti afk karna sinyal buruk atau disaat kena pelanggaran afk karna bad signal tapi dibilang karna kelalaian player).",3
"Pengalaman bermain yang buruk, Game sering freezing ditengah pertandingan. Jaringab tidak stabil padahal sinyal saya berwarna hijau. Dan yang paling parah, disaat mode Rank tersisa 1 bintang untuk ke divisi selanjutnya tapi diberi kan kekalahan, dimana tim lawan sangat kuat sedangkan tim sendiri seperti bot. Moonton ingatlah karma mu !",1
"Gw dapat bug yg aneh dan ngeganggu, pas di gameplay rank, awal game kayak aman aja, tapi pas lagi mau ngambil turtle pertama malah jaringan gw tiba-tiba jelek, kecepatan jaringan nya sampe² 0.50 sampai 1,0 KB/dtk, gak pernah di atas 50 KB/dtk, pas coba keluar dari game tersebut dan coba pake aplikasi online lainnya, ternyata jaringannya bagus. Eh pas mau login ulang ke game malah gak mau masuk ke in game, Ngestuck di loading awal aja, tapi bukan loading in match. dan jaringannya tetep rendah.",1
"Gem nya bagus tapi sistemnya burik,jelek,rusak,bosok,,sering bermasalah tapi gak ada penanganan yang tepat..developer nya udah angkat tangan....gak mampu ngatasi sistem yang rusak..selalu lag saat didalam pertandingan padahal sinyal ada...",2
"pengaturan sistem sangat jelas, bagi player solo tidak ada yg namanya win streak, selalu di kasih tim yg ga seimbang, main game buat refreshing malah di buat stress sama sistemnya.... dan sering bgt ketika di match server suka lag, itu sangat mengagnggu,,, kalo ga mau player ml pindah game, cobalah benerin semua permasalahan yg buat stress ini... sangat kecewa!",1
"Mobile Legends adalah game paling buruk yang pernah saya mainkan. Dari sistem Matchmacking yang tidak seimbang, kadang mendapatkan tim yang buruk, sedangkan tim lawan diluar kemampuan, sistem Gacha yang kikir, sinyal yang tiba-tiba lag, Bug, dan lain-lain. Tolong MONTOON untuk bisa diatasi, karena sudah cukup meresahkan. (DISCLAIMER : Game ini hanya untuk orang yang sabar. Jika sudah kecanduan, rusak akhlak anda)",1
"maksudnya koneksi terputus itu apa ya? padahal sinyal bagus banget,main yang lain lancar,giliran kita relog mau masuk ke game lagi, ga masuk masuk,itu tolong di benerin dong,risih banget saya sama koneksi terputus,padahal sinyal bagus bagus aja,buka yang lain lancar,tolong dibenerin dev,satu lagi ya,pas kita mau cek histori pertandingan yang error tadi malah ga ada,kesel banget dev rasanya,apalagi pas posisi lagi menang,dikasih momen kaya gitu ga mood main ml rasanya",1
"saat ketinggalan match lalu kita masuk lagi ke dalam tab mobile legends, loading % stuck di 45 dan tidak bisa masuk kedalam match hingga game selesai dan mengakibatkan afk. tolong di perbaiki karena ini sangat menganggu dan lucu nya lagi saya tinggal 1 menit keluar lalu kembali lagi ke tab nya malah di kasih begitu",1
"minimal kalo kasih sinyal server Indonesia yang bagus lah masa sinyal dari sabang sampek Merauke jelek bangett, tolong perbaiki koneksinya, sama bagi tim tu seimbang sama musuh, bukannya yang baru main di kasih ke kita yg udh lama main, sedangkan musuh nya rank tinggi semua, gada ya ni game ngasih kesenangan, cuma bikin mental rusak kalo gak kuat mah.",1
Game moba dengan rate terendah!! kenapa? karena menurut ku game moba lain tuh sudah memaksimalkan jaringan jika jaringan bagus maka permainan lancar tidak seperti mobile legends jaringan saya sudah bagus tetapi mengapa masih ada lag yang parah saat di ingame satu lagi game ini memberikan banyak kekalahan di game moba selain nya jika sudah kalah 3 kali maka akan di beri kemenangan di mobile legend sistem nya perlu di perbaiki saya kalah selama 10 kali tanpa kemenangan,1
"Tiap main di rank, selalu di kasih tim bot, troll, ada juga yg belajar main hero di rank. Sedangkan tim musuh selalu ga ngotak dan pada pinter pinter main. Main jam 1 - 4 siang, dapet lose streak, main di jam 7 - 10 malam, dapet lose streak juga. Terus dapet win streak nya kapan sih? Ga ngotak semua. Usahakan seimbangkan matchmaking nya. Solo rank atau party-an juga serba salah, lose streak mulu. Jadi males login.",1
"Pelayanan Customer Service Kurang bagus, timbal balik yang diberikan kurang berkesan serta tidak adanya perubahan pada permasalahan yang dilaporkan. Pertandingan terasa lag padahal jaringan bagus (dirumah) dengan sinyal penuh (4g+). Kadangkala bahkan hingga meninggalkan pertandingan. Lokasi terjadinya lag: disekitar sungai lord/turtle, disekitar jungle buff merah dekat dengan mid Lane, sekitar rumput hingga turret depan gold creep. grafis smooth dengan refresh rate high. ping 35-70 nmn lag.",2
"Udah setahun gak main ini lagi, eh balik lagi tetap aja gak berubah. Masih banyak yang harus diperbaiki. Perkembangan nya gak jauh dari dulu. Cuma nambah hero doang. Kecewaa banget sih + ngasih tim gak pernah bagus cara main nya. Masih banyak pake cheat, AFK, Feeder. Saya komplain banget soal cheat jaringan. Tolong diatasi ! Rasanya pengen ngasih bintang nol gak diatasi sama sekali",1
"• Masih banyak player egois soal Lane. • Server sengaja membuat kenakalan dengan Ping 133ms saat tim mendekati kemenangan, yang padahal jaringan masih lancar. • Sistem Matchmaking masih banyak kesalahannya, dan tidak seimbangnya perlawanan terhadap musuh. • Masih banyak player troll yang menghambat kemenangan tim. • Menghabiskan ruang memori internal secara tidak lazim.",1
"kenapa sistemnya gadiubah kaya game sebelah? Sejago apapun kita kalo dapet tim sampah ya susah karena ini 5 vs 5, coba ubah sistemnya jadi orang yg bisa main setim dengan orang yg bisa main juga, sebaliknya dark system sama dark system juga biar adil. kalo begini terus solo player yg dirugiin. pantes sekarang game sebelah lebih banyak diminati karena perihal sistemnya aja udah disesuaikan, jadi player yg bisa main ga takut dengan player sampah yg gabisa apa2, match makingnya juga ketat",1
"oi kalo ngasih tim yang bener bisa gak si?,masa setim kayak player dibawah grandmaster semua walaupun tier nya bagus, padahal tierku diatas LEGEND, setidaknya yang normal di tim ada 3 lah(sama aku)lah ini cuma aku doang yang normal, kan kayak apa kali, mana kalo main pas udah late game jaringannya tiba tiba ngelag parah, padahal ping nya di bawah 40. mksh",1
"Kenapa sih akhir akhir ini sering ngelag banget kalo main alias sinyal nya ga bagus,padahal sudah dekat sama wifi dan biasanya pun juga harusnya jaringannya sudah bagus,ini emang bug apa gimana yah?tolong di perbaiki lagi pihak moonton,saya kalau main jadi tidak tenang dan terpaksa harus AFK,dan itu pun tetap akan kena hukuman,padahal lag nya juga dalam jangka waktu yang panjang dan kalau relog juga masih lag,tolong lah ya MOONTON,diperhatikan lagi, stress njing",2
Agak heran sama tim sendiri... Tolong perbaiki sistem pemilihan tim supaya gameplay lebih asik.. Terkadang yang main sendiri sampe depresi karena kalah terus.. Tolong di perbaiki sistem pencaharian untuk tim sendiri... Lebih di tekankan supaya gamenya lebih merujuk kepada usia dewasa bukan anak kecil...,1
"mohon untuk terus memerhatikan koneksi server, karena terkadang pada saat berada di in gamenya terkadang koneksi TDK stabil padahal saya menggunakan wifi,mohon untuk terus mengutamakan sinyal!!,bukan bagusnya skin atau event,masa eventnya bagus bagus tapi koneksi sinyal antar server nya buruk?",5
update terbaru jadi terasa aneh. 1.sering mengalami tombol delay pada movement dan skill padahal fps stabil 2.system matching kurang seimbang apalagi sering sekali mendapatkan musuh yang sudah emblem lv maksimal. 3.system penilaian pertandingan jadi agak kurang masuk akal. 4.koneksi internet kadang bermasalah walaupun memakai wifi.dan ini terjadi saat moment krusial seperti team war dan set lord.dan ini seperti tidak masuk akal jika awal season ini keamanan system agak kurang ketat.,2
"Game nya emang bagus tapi makin hari makin aneh keseringan bug sinyal, ms 20 lag aneh bgt pas buka game lain aman aman aja, emang sistemnya gajelas bgt, Uda banyak yg ngeluh soal bug ms tapi apa? ga ada sama sekali yg di perbaiki, malah sibuk buat skin "" baru. tapi bug masih blm di perbaiki",5
"kenapa gua kasih bintang DUA karena:ketika gua lagi download RESOURCE itu sudah gak kayak dulu lagi...pas dihentikan atau download RESOURCE lain yg MB NYA KECIL,download nya malah lanjut terus mana RESOURCE yg dilanjut ada nyampe 3GB LAH..kalau dulu masih bisa dihentikan downloadnya..LEBIH ENAK.ini perbaikilah bug bug atau apalahhh yang meresahkan MOONTON banyak player yang pensi termasuk aku karena HP kami sudah tidak kuat.Sama lane ketika lagi main,ituu lane nya gak bisa dirubah.gimana itu???",2
"Setelah di update saat berada di pertandingan sinyal saya suka tidak stabil dan itu terjadi sepanjang game, padahal sinyal saya 4G+ dan untuk membuka aplikasi lain lancar"" saja, tapi ketika bermain game ini sinyal saya selalu saja berubah jadi tidak stabil!! Mohon segera perbaiki masalah jaringan moonton!! Saya jadi malas sekali main ni game krn masalah ini, bikin player gk nyaman dalam bermain!",1
"Aplikasi eror tiba tiba freeze in ranked match koneksi terputus padahal jaringan lancar, saya coba laporkan masih belum bisa soalnya battle id tidak keluar padahal sudah 10 menit. Kondisi tidak dapat main lagi karena terhitung masih dalam pertandingan. Bug ter parah sih ini, setelah di update pun malah jadi stuck di tampilan loading di layar awal. Sudah gitu sistem punishment ga jelas yang ngetroll dibiarin giliran gw yg main sungguh sungguh malah dikurangi credit score, gw ajukan banding g bisa",1
"setelah game nya di update beberapa fungsi makin jelek, jaringan makin lag padahal kalo main game lain jaringannya lancar lancar aja, please lah moonton gamenya diperbaiki lagi, di tambah lu kalok ngasih musuh itu yang setara sama rank player lah moonton, masa ditabrakin sama rank yang udah jauh di atas player nya, kan gak seimbang, oh iya tolong tambah fitur melihat ID teman moonton, soalnya kita gk bisa lihat ID temen jadi susah kalau akunnya hilang",2
